444	3142	6419	4379	4039	7970	5042	2002	7516	6004	4769	6960	6197	4985	1529	3985	5856	1068	7842	9518
2373	9037	4594	139	8842	3999	3504	5860	8908	9206	9329	2202	8235	1162	1599	507	3076	5110	5296	4905
4408	6461	5920	4435	2503	4208	5793	6174	9376	6202	1504	3992	4303	3478	9032	284	3636	5659	730	7832
6298	3935	5443	35	6455	3640	8077	3092	2664	3849	9456	3295	5186	8010	3736	1537	3340	3422	8816	6060
1723	9628	7930	8473	7301	4524	9054	5441	7209	8418	158	2568	692	2859	3504	9681	8346	7217	1750	4389
678	7572	1076	2684	9977	1599	6074	8196	2807	8437	7323	2331	8908	1108	7281	2371	1813	8669	6661	1461
2665	4545	5731	9152	4844	1943	5503	2971	9233	6181	1666	6051	291	4995	7430	2937	160	2353	1310	9212
1987	7732	493	7165	8542	7510	2658	5699	6339	4883	2686	7873	7917	9584	3503	2105	6188	5247	346	9296
3059	8765	4429	8652	8327	3721	5418	7159	5314	236	7744	2563	2948	4293	3529	3598	1675	8932	4489	1126
1999	7679	947	3615	9355	1977	6549	2840	4746	7011	9797	6889	2359	9897	6009	7916	518	5915	4818	9599
1494	4882	5011	994	8629	457	7484	7672	6339	3588	9125	3000	306	7140	8732	6716	354	9519	7349	2322
7950	834	2981	4341	201	6465	3841	3844	7959	6560	5935	8060	9612	2357	8422	4197	3625	3973	8821	2170
208	9861	5660	7980	9415	4391	3015	6405	4845	8845	1001	469	3089	1308	2943	9576	5953	3214	377	9777
2602	9244	9958	1154	7412	7584	2153	9144	4040	3798	1105	7020	3169	1042	2294	7702	4385	2226	9653	5821
3184	3773	7071	8753	7686	4662	7496	3240	204	7420	736	5686	381	8867	5017	2003	8058	9343	5056	6939
2157	1146	4129	5062	6679	2244	9300	1337	331	8872	2932	8990	9659	8050	2914	4149	5774	3439	4081	6416
770	1648	1619	1381	8052	3670	3313	3869	9081	3519	1994	9365	3960	3016	4351	4480	5051	4622	413	9871
2741	566	1884	2521	8198	5870	4463	344	1070	2553	4799	4408	9654	1204	3851	5748	843	3430	9253	7363
3180	7625	726	9560	9785	6541	3401	5150	5383	2054	7884	1885	5170	7684	1873	5317	7203	1002	1292	1780
6030	1774	4775	8545	7154	6890	3306	5980	1174	2645	2756	2106	6938	260	5196	683	4044	5706	2444	9799
1843	9299	4368	5979	4676	6193	4599	6166	1936	7816	6665	2463	7626	9052	8967	5080	518	9237	8516	2834
1450	9042	6942	7443	197	4068	944	1351	4371	277	7891	5366	4554	5915	8966	2021	8173	2580	4663	8183
4484	478	6894	6167	511	9767	8227	6918	6739	8682	1467	3637	2906	2879	2927	5430	1876	8343	6994	6779
8411	2043	1061	4718	730	7715	2650	4686	5626	9112	2680	5116	7484	6249	6361	8379	5528	7280	4884	9535
